Ответы;Филлер/стимул;Вопрос/восклицание;single/pair интерпретация;порядок;2аргумента/1аргумент+1адъюнкт;есть сочинение/нет сочинения;id респонденты;пол;возраст;уровень образования;сфера;предложения;правильность филлера;номер предложения;порядок 2
5;стимул;вопрос;single;X аргумент -Y аргумент;2 аргумента;нет;id24;Женский;29;Высшее;IT;sentence12.1; - ;5A;прямой
5;стимул;вопрос;single;Y аргумент - X аргумент;2 аргумента;нет;id2;Мужской;20;Неоконченное высшее;IT;sentence14.1; - ;7A;непрямой
5;стимул;вопрос;single;Y аргумент - X аргумент;2 аргумента;нет;id4;Мужской;20;Неоконченное высшее;Химическая промышленность;sentence14.1; - ;7A;непрямой
5;стимул;вопрос;single;Y аргумент - X аргумент;2 аргумента;нет;id5;Женский;27;Высшее;Преподавание;sentence14.1; - ;7A;непрямой
5;стимул;вопрос;single;Y аргумент - X аргумент;2 аргумента;нет;id7;Женский;20;Неоконченное высшее;Экономика;sentence14.1; - ;7A;непрямой
5;стимул;вопрос;single;Y аргумент - X аргумент;2 аргумента;нет;id9;Мужской;20;Неоконченное высшее;Учеба;sentence14.1; - ;7A;непрямой
5;стимул;вопрос;single;Y аргумент - X аргумент;2 аргумента;нет;id10;Мужской;20;Среднее профессиональное;МЧС;sentence14.1; - ;7A;непрямой
5;стимул;вопрос;single;Y аргумент - X аргумент;2 аргумента;нет;id12;Мужской;26;Среднее общее;Прочее;sentence14.1; - ;7A;непрямой
5;стимул;вопрос;single;Y аргумент - X аргумент;2 аргумента;нет;id13;Женский;20;Неоконченное высшее;Медицина;sentence14.1; - ;7A;непрямой
5;стимул;вопрос;single;Y аргумент - X аргумент;2 аргумента;нет;id14;Женский;20;Неоконченное высшее;Медицина;sentence14.1; - ;7A;непрямой
5;стимул;вопрос;single;Y аргумент - X аргумент;2 аргумента;нет;id15;Женский;21;Неоконченное высшее;Преподавание;sentence14.1; - ;7A;непрямой
5;стимул;вопрос;single;Y аргумент - X аргумент;2 аргумента;нет;id16;Женский;21;Неоконченное высшее;Медицина;sentence14.1; - ;7A;непрямой
