answers;Филлер/стимул;sent_type;single/pair;порядок;syntacticrole;cordination;id;пол;возраст;уровень образования;сфера;sentence;правильность филлера;номер предложения;order
5;стимул;excl;single;Y аргумент - X аргумент;args;non-coord;id53;Мужской;20;Неоконченное высшее;IT;sentence27.1; - ;16B;indirect
1;стимул;excl;single;Y аргумент - X аргумент;args;non-coord;id54;Женский;20;Неоконченное высшее;Психология;sentence27.1; - ;16B;indirect
5;стимул;excl;single;Y аргумент - X аргумент;args;non-coord;id55;Мужской;23;Неоконченное высшее;IT;sentence27.1; - ;16B;indirect
2;стимул;excl;single;Y аргумент - X аргумент;args;non-coord;id56;Мужской;20;Среднее общее;Учеба;sentence27.1; - ;16B;indirect
5;стимул;excl;single;Y аргумент - X аргумент;args;non-coord;id57;Мужской;20;Неоконченное высшее;Сфера обслуживания;sentence27.1; - ;16B;indirect
4;стимул;excl;single;Y аргумент - X аргумент;args;non-coord;id58;Мужской;20;Неоконченное среднее профессиональное;Искусство;sentence27.1; - ;16B;indirect
5;стимул;excl;single;Y аргумент - X аргумент;args;non-coord;id59;Женский;20;Неоконченное среднее профессиональное;Искусство;sentence27.1; - ;16B;indirect
5;стимул;excl;single;Y аргумент - X аргумент;args;non-coord;id60;Женский;20;Неоконченное среднее профессиональное;Искусство;sentence27.1; - ;16B;indirect
2;стимул;excl;single;Y аргумент - X аргумент;args;non-coord;id61;Женский;20;Неоконченное среднее профессиональное;Искусство;sentence27.1; - ;16B;indirect
5;стимул;excl;single;Y аргумент - X аргумент;args;non-coord;id62;Женский;20;Неоконченное среднее профессиональное;Искусство;sentence27.1; - ;16B;indirect
5;стимул;excl;single;Y аргумент - X аргумент;args;non-coord;id63;Женский;23;Среднее профессиональное;Бухгалтерский учет;sentence27.1; - ;16B;indirect
5;стимул;excl;single;Y аргумент - X аргумент;args;non-coord;id64;Женский;30;Высшее;Экономика;sentence27.1; - ;16B;indirect
1;стимул;excl;single;Y аргумент - X аргумент;args;non-coord;id65;Женский;24;Высшее;Маркетинг;sentence27.1; - ;16B;indirect
5;стимул;excl;single;Y аргумент - X аргумент;args;non-coord;id66;Женский;22;Высшее;Менеджмент;sentence27.1; - ;16B;indirect
4;стимул;excl;single;Y аргумент - X аргумент;args;non-coord;id67;Мужской;24;Высшее;Строительство;sentence27.1; - ;16B;indirect
5;стимул;excl;single;Y аргумент - X аргумент;args;non-coord;id68;Мужской;28;Высшее;Экология;sentence27.1; - ;16B;indirect
5;стимул;excl;single;Y аргумент - X аргумент;args;non-coord;id69;Женский;26;Высшее;Экономика;sentence27.1; - ;16B;indirect
5;стимул;excl;single;Y аргумент - X аргумент;args;non-coord;id70;Женский;24;Среднее профессиональное;Сфера обслуживания;sentence27.1; - ;16B;indirect
5;стимул;excl;single;Y аргумент - X аргумент;args;non-coord;id71;Мужской;21;Среднее профессиональное;Искусство;sentence27.1; - ;16B;indirect
5;стимул;excl;single;Y аргумент - X аргумент;args;non-coord;id72;Женский;23;Неоконченное среднее профессиональное;Искусство;sentence27.1; - ;16B;indirect
5;стимул;excl;single;Y аргумент - X аргумент;args;non-coord;id73;Женский;30;Высшее;IT;sentence27.1; - ;16B;indirect
3;стимул;excl;single;Y аргумент - X аргумент;args;non-coord;id74;Мужской;21;Среднее общее;Учеба;sentence27.1; - ;16B;indirect
1;стимул;excl;single;Y аргумент - X аргумент;args;non-coord;id75;Мужской;20;Неоконченное высшее;Экономика;sentence27.1; - ;16B;indirect
4;стимул;excl;single;аргумент-адъюнкт;adjarg;coord;id51;Женский;21;Неоконченное высшее;IT;sentence28.1; - ;28B;direct
4;стимул;excl;single;аргумент-адъюнкт;adjarg;coord;id52;Женский;20;Неоконченное высшее;IT;sentence28.1; - ;28B;direct
5;стимул;excl;single;аргумент-адъюнкт;adjarg;coord;id53;Мужской;20;Неоконченное высшее;IT;sentence28.1; - ;28B;direct
1;стимул;excl;single;аргумент-адъюнкт;adjarg;coord;id54;Женский;20;Неоконченное высшее;Психология;sentence28.1; - ;28B;direct
2;стимул;excl;single;аргумент-адъюнкт;adjarg;coord;id55;Мужской;23;Неоконченное высшее;IT;sentence28.1; - ;28B;direct
2;стимул;excl;single;аргумент-адъюнкт;adjarg;coord;id56;Мужской;20;Среднее общее;Учеба;sentence28.1; - ;28B;direct
3;стимул;excl;single;аргумент-адъюнкт;adjarg;coord;id57;Мужской;20;Неоконченное высшее;Сфера обслуживания;sentence28.1; - ;28B;direct
4;стимул;excl;single;аргумент-адъюнкт;adjarg;coord;id58;Мужской;20;Неоконченное среднее профессиональное;Искусство;sentence28.1; - ;28B;direct
5;стимул;excl;single;аргумент-адъюнкт;adjarg;coord;id59;Женский;20;Неоконченное среднее профессиональное;Искусство;sentence28.1; - ;28B;direct
5;стимул;excl;single;аргумент-адъюнкт;adjarg;coord;id60;Женский;20;Неоконченное среднее профессиональное;Искусство;sentence28.1; - ;28B;direct
1;стимул;excl;single;аргумент-адъюнкт;adjarg;coord;id61;Женский;20;Неоконченное среднее профессиональное;Искусство;sentence28.1; - ;28B;direct
5;стимул;excl;single;аргумент-адъюнкт;adjarg;coord;id62;Женский;20;Неоконченное среднее профессиональное;Искусство;sentence28.1; - ;28B;direct
5;стимул;excl;single;аргумент-адъюнкт;adjarg;coord;id63;Женский;23;Среднее профессиональное;Бухгалтерский учет;sentence28.1; - ;28B;direct
5;стимул;excl;single;аргумент-адъюнкт;adjarg;coord;id64;Женский;30;Высшее;Экономика;sentence28.1; - ;28B;direct
1;стимул;excl;single;аргумент-адъюнкт;adjarg;coord;id65;Женский;24;Высшее;Маркетинг;sentence28.1; - ;28B;direct
5;стимул;excl;single;аргумент-адъюнкт;adjarg;coord;id66;Женский;22;Высшее;Менеджмент;sentence28.1; - ;28B;direct
2;стимул;excl;single;аргумент-адъюнкт;adjarg;coord;id67;Мужской;24;Высшее;Строительство;sentence28.1; - ;28B;direct
5;стимул;excl;single;аргумент-адъюнкт;adjarg;coord;id68;Мужской;28;Высшее;Экология;sentence28.1; - ;28B;direct
5;стимул;excl;single;аргумент-адъюнкт;adjarg;coord;id69;Женский;26;Высшее;Экономика;sentence28.1; - ;28B;direct
5;стимул;excl;single;аргумент-адъюнкт;adjarg;coord;id70;Женский;24;Среднее профессиональное;Сфера обслуживания;sentence28.1; - ;28B;direct
5;стимул;excl;single;аргумент-адъюнкт;adjarg;coord;id71;Мужской;21;Среднее профессиональное;Искусство;sentence28.1; - ;28B;direct
5;стимул;excl;single;аргумент-адъюнкт;adjarg;coord;id72;Женский;23;Неоконченное среднее профессиональное;Искусство;sentence28.1; - ;28B;direct
5;стимул;excl;single;аргумент-адъюнкт;adjarg;coord;id73;Женский;30;Высшее;IT;sentence28.1; - ;28B;direct
2;стимул;excl;single;аргумент-адъюнкт;adjarg;coord;id74;Мужской;21;Среднее общее;Учеба;sentence28.1; - ;28B;direct
1;стимул;excl;single;аргумент-адъюнкт;adjarg;coord;id75;Мужской;20;Неоконченное высшее;Экономика;sentence28.1; - ;28B;direct
4;стимул;excl;single;аргумент-адъюнкт;adjarg;non-coord;id51;Женский;21;Неоконченное высшее;IT;sentence30.1; - ;32B;direct
4;стимул;excl;single;аргумент-адъюнкт;adjarg;non-coord;id52;Женский;20;Неоконченное высшее;IT;sentence30.1; - ;32B;direct
5;стимул;excl;single;аргумент-адъюнкт;adjarg;non-coord;id53;Мужской;20;Неоконченное высшее;IT;sentence30.1; - ;32B;direct
2;стимул;excl;single;аргумент-адъюнкт;adjarg;non-coord;id54;Женский;20;Неоконченное высшее;Психология;sentence30.1; - ;32B;direct
5;стимул;excl;single;аргумент-адъюнкт;adjarg;non-coord;id55;Мужской;23;Неоконченное высшее;IT;sentence30.1; - ;32B;direct
2;стимул;excl;single;аргумент-адъюнкт;adjarg;non-coord;id56;Мужской;20;Среднее общее;Учеба;sentence30.1; - ;32B;direct
1;стимул;excl;single;аргумент-адъюнкт;adjarg;non-coord;id57;Мужской;20;Неоконченное высшее;Сфера обслуживания;sentence30.1; - ;32B;direct
4;стимул;excl;single;аргумент-адъюнкт;adjarg;non-coord;id58;Мужской;20;Неоконченное среднее профессиональное;Искусство;sentence30.1; - ;32B;direct
5;стимул;excl;single;аргумент-адъюнкт;adjarg;non-coord;id59;Женский;20;Неоконченное среднее профессиональное;Искусство;sentence30.1; - ;32B;direct
5;стимул;excl;single;аргумент-адъюнкт;adjarg;non-coord;id60;Женский;20;Неоконченное среднее профессиональное;Искусство;sentence30.1; - ;32B;direct
1;стимул;excl;single;аргумент-адъюнкт;adjarg;non-coord;id61;Женский;20;Неоконченное среднее профессиональное;Искусство;sentence30.1; - ;32B;direct
5;стимул;excl;single;аргумент-адъюнкт;adjarg;non-coord;id62;Женский;20;Неоконченное среднее профессиональное;Искусство;sentence30.1; - ;32B;direct
5;стимул;excl;single;аргумент-адъюнкт;adjarg;non-coord;id63;Женский;23;Среднее профессиональное;Бухгалтерский учет;sentence30.1; - ;32B;direct
5;стимул;excl;single;аргумент-адъюнкт;adjarg;non-coord;id64;Женский;30;Высшее;Экономика;sentence30.1; - ;32B;direct
2;стимул;excl;single;аргумент-адъюнкт;adjarg;non-coord;id65;Женский;24;Высшее;Маркетинг;sentence30.1; - ;32B;direct
5;стимул;excl;single;аргумент-адъюнкт;adjarg;non-coord;id66;Женский;22;Высшее;Менеджмент;sentence30.1; - ;32B;direct
2;стимул;excl;single;аргумент-адъюнкт;adjarg;non-coord;id67;Мужской;24;Высшее;Строительство;sentence30.1; - ;32B;direct
5;стимул;excl;single;аргумент-адъюнкт;adjarg;non-coord;id68;Мужской;28;Высшее;Экология;sentence30.1; - ;32B;direct
5;стимул;excl;single;аргумент-адъюнкт;adjarg;non-coord;id69;Женский;26;Высшее;Экономика;sentence30.1; - ;32B;direct
5;стимул;excl;single;аргумент-адъюнкт;adjarg;non-coord;id70;Женский;24;Среднее профессиональное;Сфера обслуживания;sentence30.1; - ;32B;direct
5;стимул;excl;single;аргумент-адъюнкт;adjarg;non-coord;id71;Мужской;21;Среднее профессиональное;Искусство;sentence30.1; - ;32B;direct
5;стимул;excl;single;аргумент-адъюнкт;adjarg;non-coord;id72;Женский;23;Неоконченное среднее профессиональное;Искусство;sentence30.1; - ;32B;direct
5;стимул;excl;single;аргумент-адъюнкт;adjarg;non-coord;id73;Женский;30;Высшее;IT;sentence30.1; - ;32B;direct
4;стимул;excl;single;аргумент-адъюнкт;adjarg;non-coord;id74;Мужской;21;Среднее общее;Учеба;sentence30.1; - ;32B;direct
4;стимул;excl;single;аргумент-адъюнкт;adjarg;non-coord;id75;Мужской;20;Неоконченное высшее;Экономика;sentence30.1; - ;32B;direct
